age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
34,admin.,single,secondary,no,607,no,no,cellular,26,apr,449,1,326,3,other,no
45,admin.,married,secondary,no,46,yes,no,cellular,5,may,234,1,-1,0,unknown,no
32,blue-collar,married,unknown,no,1267,yes,no,cellular,18,may,66,2,-1,0,unknown,no
44,services,single,secondary,no,492,yes,no,cellular,12,may,56,1,361,2,other,no
26,services,single,secondary,no,1095,no,no,cellular,28,jan,410,2,-1,0,unknown,no
34,blue-collar,single,secondary,no,558,yes,no,unknown,21,may,43,1,-1,0,unknown,no
34,admin.,single,secondary,no,557,no,no,cellular,17,nov,224,1,-1,0,unknown,yes
35,management,married,tertiary,no,697,no,no,cellular,5,jun,57,2,304,1,failure,no
26,student,single,secondary,no,316,no,no,cellular,18,oct,375,2,-1,0,unknown,no
30,technician,single,secondary,no,148,yes,yes,cellular,15,may,115,5,-1,0,unknown,no
58,management,divorced,tertiary,no,4256,no,no,cellular,22,may,121,1,-1,0,unknown,no
38,management,married,tertiary,no,5432,yes,yes,cellular,19,nov,408,1,183,1,failure,no
35,technician,married,tertiary,no,703,no,no,cellular,20,apr,169,1,-1,0,unknown,no
32,services,divorced,secondary,no,130,yes,no,cellular,30,jan,194,3,-1,0,unknown,no
31,services,married,secondary,no,371,yes,yes,cellular,17,apr,654,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,-825,yes,no,unknown,23,may,228,2,-1,0,unknown,no
49,blue-collar,married,primary,no,6215,yes,no,cellular,11,may,549,1,-1,0,unknown,no
39,management,married,tertiary,no,-124,no,yes,cellular,22,jul,182,1,-1,0,unknown,no
33,management,single,tertiary,no,2617,yes,yes,cellular,18,jul,113,2,-1,0,unknown,no
33,blue-collar,divorced,primary,no,-53,yes,no,unknown,26,may,369,1,-1,0,unknown,no
54,technician,married,secondary,no,0,no,no,telephone,16,nov,986,1,94,8,failure,no
28,technician,single,tertiary,no,0,yes,no,cellular,12,aug,150,1,79,3,success,no
27,admin.,single,secondary,no,4590,yes,no,cellular,13,aug,75,1,442,2,failure,no
29,unemployed,single,secondary,no,12,yes,no,cellular,29,jan,298,3,-1,0,unknown,no
45,admin.,divorced,primary,no,1807,yes,no,unknown,6,jun,118,2,-1,0,unknown,no
30,admin.,single,secondary,no,1473,yes,no,cellular,20,apr,401,1,-1,0,unknown,no
35,admin.,single,tertiary,no,994,no,no,cellular,2,feb,75,2,-1,0,unknown,no
57,admin.,married,secondary,no,2,no,no,telephone,10,jul,144,2,-1,0,unknown,no
55,management,married,secondary,no,8592,no,no,unknown,9,jun,255,1,-1,0,unknown,no
31,services,married,secondary,no,447,no,no,cellular,4,jun,327,3,77,3,success,yes
49,services,married,primary,no,5737,yes,no,unknown,29,may,417,2,-1,0,unknown,no
56,entrepreneur,married,secondary,no,1272,no,no,cellular,6,feb,290,2,-1,0,unknown,no
39,services,single,secondary,no,-106,no,no,unknown,1,jul,60,4,-1,0,unknown,no
49,management,divorced,tertiary,no,169,no,no,cellular,18,jul,141,1,-1,0,unknown,no
44,management,divorced,tertiary,no,0,no,no,cellular,28,aug,70,10,-1,0,unknown,no
33,technician,single,tertiary,no,288,yes,yes,unknown,3,jul,343,2,-1,0,unknown,no
46,services,married,secondary,no,1516,no,no,cellular,14,aug,133,4,-1,0,unknown,no
36,management,married,tertiary,no,0,no,no,cellular,12,aug,243,3,-1,0,unknown,no
54,management,married,tertiary,yes,0,no,yes,cellular,18,nov,283,1,-1,0,unknown,no
32,services,married,secondary,no,1076,no,no,cellular,15,jul,353,3,-1,0,unknown,no
50,admin.,married,secondary,no,546,no,no,cellular,28,jul,82,6,-1,0,unknown,no
45,management,married,tertiary,no,3857,yes,no,cellular,2,feb,195,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,1059,yes,no,cellular,11,jul,94,2,-1,0,unknown,no
35,services,married,secondary,no,437,yes,no,unknown,26,may,240,1,-1,0,unknown,no
29,technician,single,secondary,no,-522,yes,yes,cellular,23,jul,89,6,-1,0,unknown,no
46,technician,married,secondary,no,0,yes,no,telephone,31,jul,181,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,53,yes,yes,cellular,6,feb,459,1,-1,0,unknown,no
42,services,married,secondary,no,-1,yes,no,cellular,8,jul,38,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,1374,yes,no,unknown,30,may,378,1,-1,0,unknown,no
29,services,single,secondary,no,-527,yes,yes,unknown,4,jun,250,1,-1,0,unknown,no
31,technician,single,tertiary,no,162,no,no,cellular,28,aug,13,9,-1,0,unknown,no
30,self-employed,married,tertiary,no,2666,no,no,cellular,4,feb,467,1,-1,0,unknown,yes
25,management,single,tertiary,no,667,no,no,cellular,29,oct,408,2,-1,0,unknown,no
32,blue-collar,married,primary,no,7406,yes,no,unknown,20,may,418,2,-1,0,unknown,no
46,blue-collar,married,primary,no,809,no,no,cellular,4,aug,160,1,-1,0,unknown,no
47,services,married,secondary,no,284,no,no,cellular,26,aug,266,5,-1,0,unknown,no
46,admin.,married,secondary,no,120,yes,no,unknown,14,may,20,11,-1,0,unknown,no
50,technician,married,secondary,no,2406,yes,no,telephone,14,jul,197,5,-1,0,unknown,no
33,self-employed,single,secondary,no,238,yes,yes,cellular,5,feb,45,5,-1,0,unknown,no
23,blue-collar,single,primary,no,8627,yes,no,unknown,3,jun,281,1,-1,0,unknown,no
42,technician,single,tertiary,no,3908,yes,no,telephone,4,feb,43,5,-1,0,unknown,no
55,retired,married,secondary,no,18722,yes,no,unknown,12,may,128,2,-1,0,unknown,no
27,technician,single,tertiary,no,2781,yes,no,cellular,24,may,168,1,389,1,failure,yes
53,services,married,secondary,no,1563,yes,no,cellular,2,feb,124,2,5,1,other,no
38,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,4,-1,0,unknown,yes
31,management,married,tertiary,no,477,yes,no,cellular,21,nov,77,5,-1,0,unknown,no
49,blue-collar,married,primary,no,937,yes,no,unknown,12,jun,66,1,-1,0,unknown,no
53,technician,divorced,secondary,no,2156,yes,no,cellular,23,jul,671,4,-1,0,unknown,no
32,management,married,tertiary,no,268,yes,yes,cellular,20,apr,106,3,-1,0,unknown,no
40,blue-collar,married,secondary,no,11084,no,no,unknown,11,jun,113,1,-1,0,unknown,no
33,management,single,tertiary,no,-625,yes,no,unknown,15,may,399,1,-1,0,unknown,no
33,management,married,tertiary,no,901,no,no,cellular,11,aug,76,2,-1,0,unknown,no
42,blue-collar,married,primary,no,191,yes,no,telephone,14,may,382,3,371,1,failure,no
64,retired,married,tertiary,no,14170,no,no,cellular,24,aug,62,2,-1,0,unknown,no
35,management,married,tertiary,no,820,yes,no,unknown,8,may,287,4,-1,0,unknown,no
34,student,single,tertiary,no,1322,no,no,cellular,26,aug,170,3,-1,0,unknown,no
56,housemaid,divorced,secondary,no,977,no,no,cellular,7,jul,1200,1,-1,0,unknown,no
57,services,single,secondary,no,2236,yes,no,telephone,20,nov,51,8,190,2,failure,no
36,services,single,secondary,yes,-455,no,no,unknown,27,may,124,1,-1,0,unknown,no
39,management,single,tertiary,no,220,yes,no,unknown,8,may,87,2,-1,0,unknown,no
30,management,married,tertiary,no,3134,yes,no,cellular,17,jul,124,1,-1,0,unknown,no
50,housemaid,married,primary,no,85,no,no,cellular,21,nov,714,1,-1,0,unknown,no
36,management,married,tertiary,no,1619,yes,no,cellular,21,nov,106,2,-1,0,unknown,no
40,management,divorced,tertiary,no,49,no,no,cellular,6,feb,249,3,-1,0,unknown,no
61,management,married,tertiary,no,6016,no,no,cellular,2,feb,670,3,-1,0,unknown,yes
56,retired,divorced,tertiary,no,-458,yes,no,cellular,15,may,406,4,296,3,failure,no
47,management,married,tertiary,no,1057,no,no,cellular,4,aug,488,2,-1,0,unknown,no
30,management,single,tertiary,no,17,no,no,cellular,28,aug,95,6,-1,0,unknown,no
31,admin.,married,secondary,no,8295,yes,no,cellular,17,apr,218,1,149,1,failure,no
35,management,married,tertiary,no,358,no,no,unknown,27,jun,18,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,916,yes,no,unknown,28,may,206,1,-1,0,unknown,no
52,housemaid,married,secondary,no,1752,no,yes,telephone,21,nov,346,4,123,8,failure,no
41,blue-collar,married,secondary,no,1245,yes,no,cellular,4,feb,123,1,271,1,failure,no
40,unemployed,married,secondary,no,488,yes,no,cellular,31,jul,222,4,-1,0,unknown,no
41,technician,married,tertiary,no,354,no,no,cellular,29,jul,95,5,-1,0,unknown,no
31,admin.,married,secondary,no,0,yes,no,cellular,5,feb,70,4,-1,0,unknown,no
38,admin.,single,tertiary,no,3954,yes,no,cellular,10,feb,201,1,182,3,failure,no
56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes
38,blue-collar,single,secondary,no,745,yes,no,unknown,21,may,281,15,-1,0,unknown,no
34,management,married,tertiary,no,48,no,no,cellular,24,jul,357,7,-1,0,unknown,no
43,management,married,tertiary,no,228,yes,no,cellular,26,may,55,1,113,1,failure,no
54,management,married,tertiary,no,1331,no,no,cellular,25,aug,240,9,-1,0,unknown,no
51,admin.,married,secondary,no,907,yes,no,telephone,21,jul,722,3,-1,0,unknown,no
27,admin.,single,secondary,no,18188,yes,no,unknown,12,jun,541,17,-1,0,unknown,yes
44,technician,married,secondary,no,-1317,yes,no,cellular,2,feb,371,1,-1,0,unknown,no
26,admin.,single,secondary,no,125,no,no,cellular,6,oct,63,1,63,7,failure,no
30,admin.,single,secondary,no,-36,no,no,cellular,16,jul,561,9,-1,0,unknown,yes
46,blue-collar,married,secondary,no,312,yes,no,cellular,14,may,20,2,-1,0,unknown,no
30,admin.,married,secondary,no,-150,yes,no,cellular,6,may,174,1,365,1,failure,no
48,blue-collar,single,primary,no,396,yes,no,unknown,12,may,194,3,-1,0,unknown,no
30,blue-collar,married,primary,no,135,yes,no,telephone,17,jul,268,5,-1,0,unknown,no
31,blue-collar,single,secondary,no,616,yes,no,telephone,12,may,185,3,-1,0,unknown,no
41,management,single,tertiary,no,0,no,no,cellular,31,jul,24,4,-1,0,unknown,no
33,admin.,married,secondary,no,0,yes,no,cellular,15,jul,120,6,-1,0,unknown,no
25,services,single,secondary,no,94,no,no,unknown,25,feb,32,1,-1,0,unknown,no
56,management,married,tertiary,no,665,no,no,cellular,29,aug,25,12,-1,0,unknown,no
24,services,single,secondary,no,-248,yes,no,unknown,16,may,187,1,-1,0,unknown,no
40,entrepreneur,married,secondary,no,6403,no,no,cellular,22,sep,208,2,-1,0,unknown,yes
25,management,single,tertiary,no,3,yes,yes,cellular,16,apr,1034,1,-1,0,unknown,yes
42,blue-collar,married,secondary,no,505,yes,no,cellular,15,may,117,1,-1,0,unknown,no
52,technician,married,secondary,no,-35,no,yes,cellular,28,jan,165,1,-1,0,unknown,no
44,blue-collar,single,primary,no,343,yes,yes,cellular,18,may,19,7,-1,0,unknown,no
26,management,single,tertiary,no,9447,no,no,cellular,4,sep,113,1,100,2,other,no
42,technician,married,secondary,no,3472,yes,no,unknown,2,jun,61,2,-1,0,unknown,no
31,admin.,single,secondary,no,358,yes,no,unknown,15,may,124,2,-1,0,unknown,no
55,services,married,secondary,no,752,no,no,unknown,17,jun,204,2,-1,0,unknown,no
27,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,3,-1,0,unknown,yes
64,unemployed,divorced,secondary,no,588,no,no,cellular,8,mar,409,1,-1,0,unknown,yes
55,management,divorced,tertiary,no,-207,no,no,cellular,2,feb,211,1,-1,0,unknown,no
44,blue-collar,divorced,secondary,no,579,yes,no,unknown,6,may,198,2,-1,0,unknown,no
33,technician,single,secondary,no,296,yes,no,unknown,21,may,226,1,-1,0,unknown,no
57,technician,married,tertiary,no,0,yes,yes,cellular,17,nov,142,1,-1,0,unknown,no
59,management,married,tertiary,no,3640,no,no,cellular,17,nov,226,2,-1,0,unknown,no
40,technician,married,secondary,no,990,yes,no,cellular,6,feb,252,3,-1,0,unknown,no
35,technician,divorced,tertiary,no,-995,yes,yes,cellular,25,aug,734,4,-1,0,unknown,no
42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,yes
45,technician,married,tertiary,no,1818,yes,yes,cellular,25,jun,427,1,142,5,success,no
31,blue-collar,married,tertiary,no,2827,yes,no,unknown,8,may,238,3,-1,0,unknown,no
34,technician,single,tertiary,no,449,no,no,cellular,8,aug,765,3,-1,0,unknown,no
49,self-employed,married,tertiary,no,503,yes,no,cellular,27,feb,118,5,21,5,failure,no
51,management,married,tertiary,no,0,yes,yes,cellular,19,aug,263,1,84,1,other,no
42,services,married,secondary,no,128,no,no,cellular,11,jul,148,2,-1,0,unknown,no
51,management,single,tertiary,no,1146,yes,yes,unknown,19,may,458,4,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,5666,no,yes,cellular,12,jun,69,4,-1,0,unknown,no
39,technician,single,secondary,no,0,yes,no,cellular,13,may,6,7,175,4,other,no
33,admin.,single,secondary,no,375,yes,no,cellular,17,apr,151,1,-1,0,unknown,no
39,services,single,secondary,no,315,yes,no,cellular,15,may,14,3,-1,0,unknown,no
44,management,divorced,tertiary,no,347,yes,yes,cellular,14,aug,63,2,-1,0,unknown,no
46,services,married,secondary,no,-119,yes,no,cellular,15,may,138,2,297,3,failure,no
48,technician,married,unknown,no,460,no,no,unknown,5,jun,99,3,-1,0,unknown,no
33,admin.,single,secondary,no,3160,no,no,unknown,18,jun,719,13,-1,0,unknown,no
52,self-employed,married,tertiary,no,0,yes,no,cellular,17,nov,117,2,-1,0,unknown,no
23,admin.,single,secondary,no,738,yes,no,cellular,15,may,347,1,-1,0,unknown,no
38,admin.,married,secondary,no,2549,no,no,cellular,3,mar,103,1,-1,0,unknown,no
55,services,married,secondary,no,0,no,no,cellular,22,oct,102,1,106,1,failure,no
34,services,married,secondary,no,-451,yes,yes,cellular,23,jul,498,1,-1,0,unknown,no
60,retired,married,primary,no,71,no,no,cellular,10,jul,121,3,-1,0,unknown,no
40,services,divorced,secondary,no,9,no,no,cellular,28,jul,154,2,-1,0,unknown,no
46,blue-collar,married,primary,no,575,no,no,cellular,25,aug,129,3,-1,0,unknown,no
41,blue-collar,married,primary,no,6596,yes,no,cellular,20,nov,88,1,-1,0,unknown,no
47,management,married,tertiary,no,109,yes,no,cellular,22,jul,268,1,-1,0,unknown,no
39,management,single,tertiary,no,3840,yes,no,cellular,11,aug,315,2,-1,0,unknown,yes
76,retired,married,primary,no,3324,no,no,cellular,13,nov,122,1,92,3,success,yes
28,self-employed,single,tertiary,no,805,no,no,cellular,26,may,69,1,99,1,success,no
34,unemployed,married,secondary,no,1375,no,no,cellular,21,nov,148,1,-1,0,unknown,no
35,admin.,single,tertiary,no,980,no,no,cellular,29,oct,68,2,-1,0,unknown,no
31,management,married,tertiary,no,414,yes,no,cellular,11,may,498,2,-1,0,unknown,no
32,technician,married,secondary,no,169,yes,no,cellular,7,may,22,11,-1,0,unknown,no
34,management,married,secondary,no,355,no,no,cellular,21,aug,314,3,-1,0,unknown,no
31,technician,married,secondary,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no
34,management,married,tertiary,no,28,yes,no,cellular,2,feb,504,1,-1,0,unknown,no
46,admin.,single,unknown,no,2273,no,no,cellular,14,jul,187,3,-1,0,unknown,no
33,blue-collar,single,secondary,no,3975,yes,yes,cellular,17,apr,515,1,150,1,other,no
51,management,married,tertiary,no,2814,no,no,cellular,3,feb,178,1,-1,0,unknown,no
32,technician,single,secondary,no,0,no,no,cellular,18,aug,594,4,-1,0,unknown,yes
58,entrepreneur,married,tertiary,no,0,no,yes,cellular,30,jan,540,1,2,2,other,no
35,admin.,divorced,secondary,no,0,yes,yes,cellular,17,nov,86,2,-1,0,unknown,no
52,admin.,married,secondary,no,199,no,no,cellular,28,jan,978,2,189,1,other,no
43,blue-collar,married,secondary,no,173,no,yes,telephone,9,jul,238,8,-1,0,unknown,no
55,management,married,tertiary,no,740,no,no,cellular,25,aug,57,3,-1,0,unknown,no
47,housemaid,married,tertiary,no,333,no,no,telephone,21,nov,8,5,137,1,failure,no
41,management,married,tertiary,no,1234,no,no,unknown,17,jun,68,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,49,yes,no,cellular,7,jul,494,4,-1,0,unknown,yes
32,blue-collar,married,secondary,no,101,yes,no,unknown,19,may,191,4,-1,0,unknown,no
39,blue-collar,divorced,secondary,no,42,yes,no,unknown,6,may,226,2,-1,0,unknown,no
37,technician,married,secondary,no,264,yes,yes,cellular,20,apr,414,2,285,1,failure,no
27,admin.,married,secondary,no,512,yes,no,cellular,22,jul,259,1,-1,0,unknown,no
35,technician,single,tertiary,no,576,no,no,cellular,28,aug,8,13,-1,0,unknown,no
